"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          98,        -4.8354525,      -4.132474976,      -4.133604303,      -2.788703189,      -10.18451487
          0,           0,          99,       -4.84701951,      -4.114518959,      -4.107326017,      -2.800770495,      -10.17321206
          0,           0,         100,      -4.860975044,      -4.092176579,        -4.0787898,      -2.815340086,      -10.16170694
          0,           0,         101,      -4.877188396,      -4.068122182,      -4.050454351,      -2.832278436,      -10.14994057
          0,           0,         102,      -4.895455911,      -4.044420813,        -4.0239134,      -2.851372091,      -10.13788161
          0,           0,         103,      -4.915473436,      -4.022462106,      -4.000119452,      -2.872298126,      -10.12548273
          0,           0,         104,      -4.936780998,      -4.003107758,      -3.979571062,      -2.894566937,      -10.11272263
          0,           0,         105,      -4.958764064,      -3.986823512,      -3.962494925,      -2.917516409,      -10.09966192
          0,           0,         106,      -4.980592127,      -3.973822827,      -3.948966143,       -2.94024616,       -10.0863249
          0,           0,         107,      -5.001160754,      -3.964176436,      -3.938952658,      -2.961566379,      -10.07273891
          0,           0,         108,      -5.019226035,      -3.957857881,      -3.932399813,      -2.980141384,      -10.05899767
          0,           0,         109,      -5.033488554,      -3.954791326,       -3.92923365,      -2.994595691,       -10.0452112
          0,           0,         110,      -5.042849944,      -3.954868508,      -3.929374968,      -3.003796562,      -10.03142736
          0,           0,         111,      -5.046729223,      -3.957955659,      -3.932811517,      -3.007202525,      -10.01778691
          0,           0,         112,      -5.045031347,      -3.963920284,      -3.939506336,      -3.004817142,      -10.00436569
          0,           0,         113,      -5.038448644,      -3.972642045,      -3.949436731,      -2.997461387,      -9.991225567
          0,           0,         114,      -5.027968557,      -3.983973305,      -3.962630194,      -2.986246029,      -9.978471284
          0,           0,         115,       -5.01487225,      -3.997775778,      -3.979176762,      -2.972546694,      -9.966216827
          0,           0,         116,       -5.00031192,      -4.013898803,      -3.999141607,      -2.957535829,      -9.954475887
          0,           0,         117,      -4.985610208,      -4.032153708,      -4.022570961,      -2.942520969,      -9.943264145
          0,           0,         118,      -4.971289468,      -4.052324878,      -4.049548755,      -2.928022853,      -9.932682681
          0,           0,         119,      -4.958220129,      -4.074104506,      -4.080195751,      -2.914885315,      -9.922739434
          0,           0,         120,      -4.946586039,      -4.097154992,      -4.114265439,      -2.903256654,      -9.913422637
          0,           0,         121,       -4.93694954,      -4.120954336,      -4.151504329,      -2.893680166,      -9.904734119
          0,           0,         122,      -4.929515756,      -4.144825851,      -4.191246278,      -2.886339864,       -9.89662665
          0,           0,         123,      -4.924299861,      -4.168000791,      -4.231728839,      -2.881236235,      -9.889092316
          0,           0,         124,      -4.921455435,      -4.189300173,      -4.270514562,      -2.878527039,       -9.88216808
          0,           0,         125,      -4.921084973,      -4.207508038,      -4.303597655,      -2.878307566,      -9.875737081
          0,           0,         126,      -4.923324574,      -4.221258324,      -4.326178726,      -2.880707523,      -9.869764562
          0,           0,         127,      -4.928225077,      -4.229465866,       -4.33446306,      -2.885780626,      -9.864175275
          0,           0,         128,       -4.93586095,       -4.23167071,      -4.326910263,       -2.89361212,      -9.858936781
          0,           0,         129,      -4.946131717,       -4.22808404,       -4.30607492,       -2.90412068,      -9.854012395
          0,           0,         130,      -4.959320568,      -4.219377818,      -4.276855596,      -2.917602988,      -9.849293844
          0,           0,         131,      -4.975391166,       -4.20670444,      -4.243630285,      -2.934034819,      -9.844694331
          0,           0,         132,      -4.994344115,      -4.191260949,      -4.210198033,      -2.953436637,      -9.840207074
          0,           0,         133,       -5.01612318,      -4.174376613,       -4.17835724,       -2.97577658,      -9.835800494
          0,           0,         134,      -5.040731198,      -4.157073425,      -4.149471765,      -3.001093238,      -9.831398978
          0,           0,         135,      -5.067524441,      -4.140374831,      -4.124018893,      -3.028752456,      -9.826950446
          0,           0,         136,      -5.096007145,      -4.124777214,      -4.102325153,      -3.058242318,      -9.822412553
          0,           0,         137,      -5.125790936,      -4.110818837,      -4.084384317,       -3.08918784,      -9.817778832
          0,           0,         138,      -5.154903929,      -4.098720736,      -4.070135453,      -3.119501095,      -9.813023279
          0,           0,         139,      -5.180825116,      -4.088961253,      -4.059365365,       -3.14650955,       -9.80812905
          0,           0,         140,       -5.20116596,      -4.081558203,      -4.052221788,      -3.167608722,      -9.803085044
          0,           0,         141,      -5.214123689,      -4.076544889,      -4.048728497,      -3.180731789,      -9.797847794
          0,           0,         142,      -5.216670455,        -4.0741242,      -4.048552481,      -3.182599093,      -9.792460217
          0,           0,         143,      -5.208213899,      -4.074280154,      -4.051747618,      -3.172684864,      -9.786923017
          0,           0,         144,      -5.191599505,      -4.077052926,      -4.058358008,      -3.154229135,      -9.781244161
          0,           0,         145,      -5.169165023,      -4.082319649,      -4.068443298,       -3.12984252,      -9.775415009
          0,           0,         146,      -5.142960133,      -4.089978335,      -4.081861516,      -3.101778034,      -9.769451906
          0,           0,         147,      -5.116042157,      -4.099761649,      -4.098872894,      -3.073236506,      -9.763343522
          0,           0,         148,        -5.0899718,        -4.1119194,      -4.118860833,      -3.045824455,      -9.757152274
          0,           0,         149,      -5.065363689,      -4.126245372,      -4.141793523,      -3.020128796,       -9.75082237
          0,           0,         150,      -5.043763842,      -4.142211183,      -4.167602772,       -2.99765328,       -9.74439479
          0,           0,         151,      -5.024916893,      -4.159008917,      -4.196114178,      -2.978093416,      -9.737888671
          0,           0,         152,      -5.009603463,      -4.176029075,      -4.226055023,       -2.96223639,      -9.731276231
          0,           0,         153,      -4.998020469,      -4.192382381,      -4.256299713,      -2.950234823,      -9.724492482
          0,           0,         154,      -4.989670494,      -4.207115355,      -4.284709805,      -2.941549562,      -9.717622422
          0,           0,         155,      -4.984748173,      -4.219216032,      -4.308406756,      -2.936372159,        -9.7106127
          0,           0,         156,       -4.98337907,      -4.227373413,      -4.324746363,       -2.93481927,      -9.703429918
          0,           0,         157,      -4.985054669,      -4.230793029,      -4.331733865,      -2.936380398,      -9.696164722
          0,           0,         158,      -4.990215184,       -4.22921327,      -4.328612057,      -2.941515575,      -9.688838915
          0,           0,         159,       -4.99955125,       -4.22250828,      -4.317360503,      -2.950900649,      -9.681364577
          0,           0,         160,      -5.012655426,       -4.21185594,      -4.298718148,      -2.964122048,      -9.673770485
          0,           0,         161,      -5.029195763,      -4.198353656,      -4.275025493,      -2.980857105,      -9.666147748
          0,           0,         162,      -5.048853252,      -4.183193809,      -4.249284486,      -3.000823315,      -9.658482232
          0,           0,         163,      -5.071184447,      -4.166954759,      -4.223840305,      -3.023573886,       -9.65076133
          0,           0,         164,      -5.096679211,      -4.151212972,      -4.199680742,      -3.049693935,      -9.643118813
          0,           0,         165,       -5.12357209,      -4.136442538,      -4.177568013,      -3.077403923,      -9.635519432
          0,           0,         166,       -5.15126149,      -4.122411689,      -4.159121418,      -3.106010121,      -9.628014099
          0,           0,         167,      -5.180366368,      -4.110317583,      -4.143521792,      -3.136287003,      -9.620542131
          0,           0,         168,      -5.209603324,       -4.10021466,      -4.130776375,      -3.166963055,      -9.613186595
          0,           0,         169,      -5.235670759,      -4.092337056,      -4.120913187,       -3.19465972,      -9.605989871
          0,           0,         170,      -5.255576772,      -4.086633932,      -4.113521252,      -3.216067804,      -9.598901205
          0,           0,         171,      -5.266203378,      -4.082870108,      -4.109773186,       -3.22776779,      -9.592179445
          0,           0,         172,      -5.268040224,      -4.081934039,      -4.109092526,       -3.23051757,      -9.585910519
          0,           0,         173,      -5.259100859,      -4.082897739,      -4.111940445,      -3.221497223,      -9.580011604
          0,           0,         174,       -5.24319737,      -4.085949144,      -4.117680596,      -3.204851546,      -9.574522275
          0,           0,         175,       -5.22244532,      -4.091180946,      -4.126517493,      -3.183204123,      -9.569541313
          0,           0,         176,      -5.201608216,      -4.098676712,      -4.138160749,       -3.16141986,      -9.565082117
          0,           0,         177,      -5.179368481,      -4.108059872,      -4.152986292,      -3.138298909,      -9.561306221
          0,           0,         178,      -5.157965712,      -4.119338706,      -4.170583246,       -3.11612402,      -9.558333075
          0,           0,         179,      -5.138379191,      -4.132104427,      -4.191022578,      -3.095958958,      -9.556111059
          0,           0,         180,      -5.120343934,      -4.146376109,      -4.214317572,      -3.077385186,      -9.554612079
          0,           0,         181,      -5.104958981,      -4.162461856,      -4.240276445,      -3.061540195,      -9.553986888
          0,           0,         182,      -5.093104299,       -4.17994314,      -4.268812499,       -3.04939834,      -9.554259796
          0,           0,         183,      -5.084638061,      -4.198739526,      -4.298054131,      -3.040743215,      -9.555376629
          0,           0,         184,      -5.078539678,       -4.21778805,       -4.32866657,      -3.034536244,      -9.557455776
          0,           0,         185,       -5.07574067,       -4.23633826,      -4.359508221,      -3.031689275,      -9.560532593
          0,           0,         186,      -5.075963785,      -4.254157558,      -4.387515368,      -3.031900994,       -9.56455612
          0,           0,         187,      -5.078714204,      -4.270297918,      -4.410493037,      -3.034634365,      -9.569556429
          0,           0,         188,      -5.084601768,      -4.284085556,      -4.425071171,      -3.040540633,      -9.575549356
          0,           0,         189,      -5.092526112,       -4.29569959,      -4.431159045,       -3.04862481,      -9.582613531
          0,           0,         190,      -5.103980369,      -4.304346556,       -4.42828757,      -3.060382921,       -9.59065355
          0,           0,         191,      -5.118882055,      -4.309806356,       -4.41738316,      -3.075663797,      -9.599573517
          0,           0,         192,       -5.13786792,      -4.312418512,      -4.399449247,      -3.095059455,       -9.60910784
          0,           0,         193,       -5.15813498,      -4.311266362,      -4.379686097,      -3.115788194,      -9.619420612
