"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Velocity:0","Velocity:1","Velocity:2","Y_Plus","Points:0","Points:1","Points:2"
0.49768,0,1.419,-0,6.0337e-08,0,0,0,0,0,0.5676,-0.89184,0.0028422,-0.00065828,0.0012675,1.1253,0,0,0,9.4741,0.38657,0.65,0.014149
0.83689,0,2.4002,-0,6.0605e-08,0,0,0,0,0,0.96008,-0.10686,0.00069302,8.5665e-05,-5.7609e-05,1.1319,0,0,0,7.0648,0.80625,0.65,0.019982
0.84898,0,2.4353,-0,6.0613e-08,0,0,0,0,0,0.97412,-0.07879,0.00067611,9.0206e-05,-5.8436e-05,1.1321,0,0,0,7.0178,0.82486,0.65,0.018348
0.86021,0,2.4679,-0,6.0621e-08,0,0,0,0,0,0.98717,-0.052692,0.00065735,9.5016e-05,-5.8911e-05,1.1323,0,0,0,6.9513,0.84265,0.65,0.016722
0.87091,0,2.4991,-0,6.0629e-08,0,0,0,0,0,0.99963,-0.027769,0.00063537,0.00010049,-5.9065e-05,1.1325,0,0,0,6.8595,0.85957,0.65,0.015113
0.88136,0,2.5295,-0,6.0637e-08,0,0,0,0,0,1.0118,-0.0034018,0.0006089,0.00010683,-5.8802e-05,1.1327,0,0,0,6.7418,0.87556,0.65,0.013528
0.89166,0,2.5596,-0,6.0646e-08,0,0,0,0,0,1.0238,0.020656,0.00057774,0.0001142,-5.7995e-05,1.1329,0,0,0,6.59,0.8906,0.65,0.011968
0.90191,0,2.5896,-0,6.0656e-08,0,0,0,0,0,1.0358,0.044619,0.00054175,0.0001224,-5.6439e-05,1.1332,0,0,0,6.4072,0.90466,0.65,0.01044
0.91195,0,2.619,-0,6.0665e-08,0,0,0,0,0,1.0476,0.068133,0.00050159,0.00013116,-5.3995e-05,1.1334,0,0,0,6.2011,0.91776,0.65,0.0089511
0.90753,0,2.603,-0,6.0608e-08,0,0,0,0,0,1.0412,0.055336,0.0007648,9.4419e-05,8.9113e-05,1.132,0,0,0,7.5245,0.92992,0.65,-0.007509
0.89682,0,2.5716,-0,6.0596e-08,0,0,0,0,0,1.0286,0.030218,0.00080934,8.3327e-05,9.1244e-05,1.1317,0,0,0,7.7156,0.91776,0.65,-0.0089511
0.88663,0,2.5417,-0,6.0584e-08,0,0,0,0,0,1.0167,0.006332,0.00084965,7.2989e-05,9.2151e-05,1.1314,0,0,0,7.8838,0.90466,0.65,-0.01044
0.87702,0,2.5136,-0,6.0573e-08,0,0,0,0,0,1.0054,-0.016187,0.00088483,6.3672e-05,9.204e-05,1.1311,0,0,0,8.0333,0.8906,0.65,-0.011968
0.86803,0,2.4872,-0,6.0563e-08,0,0,0,0,0,0.99489,-0.037243,0.00091524,5.5478e-05,9.1262e-05,1.1309,0,0,0,8.1611,0.87556,0.65,-0.013528
0.85942,0,2.462,-0,6.0553e-08,0,0,0,0,0,0.98481,-0.057415,0.00094184,4.8262e-05,9.0163e-05,1.1306,0,0,0,8.2624,0.85957,0.65,-0.015113
0.85091,0,2.4371,-0,6.0543e-08,0,0,0,0,0,0.97484,-0.077345,0.00096549,4.1575e-05,8.8934e-05,1.1304,0,0,0,8.3514,0.84265,0.65,-0.016722
0.84208,0,2.4113,-0,6.0533e-08,0,0,0,0,0,0.96451,-0.098007,0.00098929,3.4884e-05,8.7765e-05,1.1301,0,0,0,8.432,0.82486,0.65,-0.018348
0.83264,0,2.3837,-0,6.0522e-08,0,0,0,0,0,0.95347,-0.1201,0.0010154,2.7487e-05,8.6558e-05,1.1298,0,0,0,8.5117,0.80625,0.65,-0.019982
0.82236,0,2.3536,-0,6.0509e-08,0,0,0,0,0,0.94145,-0.14414,0.0010456,1.8713e-05,8.501e-05,1.1295,0,0,0,8.6027,0.7869,0.65,-0.021606
0.81131,0,2.3213,-0,6.0496e-08,0,0,0,0,0,0.92852,-0.16999,0.0010815,8.0417e-06,8.2687e-05,1.1292,0,0,0,8.702,0.7669,0.65,-0.023195
0.58587,0,1.6682,-0,6.0276e-08,0,0,0,0,0,0.66727,-0.69249,0.0015707,-0.00010644,8.1253e-06,1.1238,0,0,0,8.8944,0.59695,0.65,0.030039
0.57368,0,1.6347,-0,6.0309e-08,0,0,0,0,0,0.65387,-0.71929,0.0014726,-0.00010514,-9.5972e-06,1.1246,0,0,0,8.5361,0.618,0.65,0.030009
0.57753,0,1.6481,-0,6.0377e-08,0,0,0,0,0,0.65925,-0.70852,0.00127,-7.5757e-05,-2.3887e-05,1.1263,0,0,0,7.9514,0.63937,0.65,0.029729
0.61934,0,1.7703,-0,6.045e-08,0,0,0,0,0,0.70812,-0.61079,0.00095209,-1.2836e-05,-2.9566e-05,1.1281,0,0,0,7.1222,0.66092,0.65,0.029187
0.69792,0,1.9978,-0,6.0516e-08,0,0,0,0,0,0.79912,-0.42879,0.0007136,4.7156e-05,-3.0145e-05,1.1297,0,0,0,6.5557,0.68253,0.65,0.028389
0.79986,0,2.2876,-0,6.0477e-08,0,0,0,0,0,0.91503,-0.19697,0.0013777,-6.623e-05,-4.9005e-05,1.1287,0,0,0,9.5997,0.53694,0.65,-0.028867
0.79978,0,2.2876,-0,6.0482e-08,0,0,0,0,0,0.91504,-0.19695,0.0011227,-4.7488e-06,7.8943e-05,1.1289,0,0,0,8.8143,0.74636,0.65,-0.024711
0.78843,0,2.2545,-0,6.0469e-08,0,0,0,0,0,0.90179,-0.22345,0.0011669,-1.9383e-05,7.3096e-05,1.1285,0,0,0,8.9245,0.72537,0.65,-0.026113
0.77825,0,2.2248,-0,6.0457e-08,0,0,0,0,0,0.88993,-0.24717,0.0012113,-3.493e-05,6.4666e-05,1.1283,0,0,0,9.0337,0.70405,0.65,-0.027353
0.41874,0,1.1914,-0,6.024e-08,0,0,0,0,0,0.47655,-1.0739,0.0026924,-0.00067912,0.00077704,1.1229,0,0,0,8.6326,0.3926,0.65,0.016013
0.39753,0,1.129,-0,6.0157e-08,0,0,0,0,0,0.45158,-1.1239,0.0024926,-0.00059294,0.00051171,1.1208,0,0,0,8.3193,0.39982,0.65,0.017472
0.41302,0,1.1719,-0,6.0117e-08,0,0,0,0,0,0.46878,-1.0895,0.0023252,-0.00048035,0.00039447,1.1198,0,0,0,8.355,0.40822,0.65,0.018815
0.43946,0,1.2481,-0,6.0157e-08,0,0,0,0,0,0.49923,-1.0286,0.0020907,-0.0003551,0.00030798,1.1208,0,0,0,8.277,0.41782,0.65,0.020179
0.95135,0,2.7312,-0,6.0651e-08,0,0,0,0,0,1.0925,0.15794,0.00057821,0.00014518,7.0879e-05,1.133,0,0,0,6.7304,0.97065,0.65,-0.0023367
0.94029,0,2.699,-0,6.0643e-08,0,0,0,0,0,1.0796,0.1322,0.00061971,0.0001301,7.567e-05,1.1329,0,0,0,6.8929,0.96145,0.65,-0.0035397
0.92949,0,2.6674,-0,6.0632e-08,0,0,0,0,0,1.067,0.10688,0.00066804,0.00011762,8.1023e-05,1.1326,0,0,0,7.1035,0.95168,0.65,-0.0047985
0.91847,0,2.6351,-0,6.062e-08,0,0,0,0,0,1.054,0.081022,0.00071707,0.00010595,8.5661e-05,1.1323,0,0,0,7.318,0.9412,0.65,-0.0061226
0.76119,0,2.1818,-0,6.0578e-08,0,0,0,0,0,0.87273,-0.28158,0.00060477,6.7273e-05,-3.1524e-05,1.1312,0,0,0,6.3176,0.70405,0.65,0.027353
0.78646,0,2.255,-0,6.0593e-08,0,0,0,0,0,0.90199,-0.22305,0.00064959,6.9954e-05,-3.9657e-05,1.1316,0,0,0,6.653,0.72537,0.65,0.026113
0.79758,0,2.2868,-0,6.0592e-08,0,0,0,0,0,0.91473,-0.19758,0.00070325,7.173e-05,-4.8257e-05,1.1316,0,0,0,6.9695,0.74636,0.65,0.024711
0.80957,0,2.3212,-0,6.0592e-08,0,0,0,0,0,0.92849,-0.17006,0.00071833,7.5821e-05,-5.362e-05,1.1316,0,0,0,7.0917,0.7669,0.65,0.023195
0.8235,0,2.3614,-0,6.0597e-08,0,0,0,0,0,0.94457,-0.13789,0.00070914,8.0955e-05,-5.6265e-05,1.1317,0,0,0,7.1009,0.7869,0.65,0.021606
