"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          71,      -6.028019569,      -6.069867073,       -6.24971263,      -6.239149998,      -5.404227963,      -9.466817973
          0,           0,          72,      -6.053908069,      -6.073683669,      -6.249484177,      -6.238928718,       -5.42997981,      -9.468536705
          0,           0,          73,      -6.079162897,       -6.07717846,      -6.250679406,      -6.239844006,      -5.455128397,      -9.470044542
          0,           0,          74,       -6.10339775,      -6.080515511,      -6.253210744,      -6.241640451,      -5.479246884,      -9.471318311
          0,           0,          75,      -6.125757301,      -6.083824043,       -6.25694489,      -6.244164907,      -5.501488266,      -9.472312079
          0,           0,          76,      -6.147901492,      -6.086983845,      -6.261703755,      -6.247203099,      -5.523426083,      -9.473070027
          0,           0,          77,      -6.166286942,       -6.09065774,      -6.267424091,      -6.250961605,      -5.541777917,      -9.473607244
          0,           0,          78,      -6.179541066,      -6.094655202,      -6.273870823,      -6.255220032,      -5.555104429,       -9.47393716
          0,           0,          79,      -6.189399084,      -6.098822401,      -6.280836117,      -6.260048914,      -5.565014724,      -9.474061114
          0,           0,          80,      -6.195136384,      -6.103199233,      -6.288264253,      -6.264966016,      -5.570847762,      -9.474047897
          0,           0,          81,      -6.197420617,      -6.107822472,      -6.296110896,      -6.269949092,      -5.573271963,      -9.473915353
          0,           0,          82,      -6.196589305,      -6.112611866,      -6.304328298,      -6.275004044,      -5.572624925,      -9.473708701
          0,           0,          83,      -6.195402965,      -6.117444587,      -6.312857431,      -6.280294379,      -5.571556823,      -9.473481357
          0,           0,          84,      -6.194389417,       -6.12250085,      -6.321681938,      -6.285877599,      -5.570641175,      -9.473340924
          0,           0,          85,       -6.19211505,      -6.128097952,      -6.330793609,      -6.291659509,      -5.568541073,      -9.473295843
          0,           0,          86,      -6.189943071,      -6.133945572,      -6.340052665,      -6.297402554,      -5.566443114,      -9.473370988
          0,           0,          87,      -6.188089712,      -6.140007377,      -6.349398365,      -6.303168275,      -5.564549116,      -9.473710607
          0,           0,          88,       -6.18812748,      -6.146273219,      -6.358748241,      -6.309244046,      -5.564398788,      -9.474213125
          0,           0,          89,       -6.19131526,      -6.152553426,      -6.368027297,      -6.315622835,      -5.567293944,       -9.47496681
          0,           0,          90,      -6.194544563,      -6.159322569,      -6.377232813,      -6.322130741,      -5.570316818,      -9.475994488
          0,           0,          91,      -6.198392838,      -6.166172563,       -6.38623124,      -6.328378899,      -5.573874396,      -9.477284196
          0,           0,          92,      -6.203518721,      -6.173023185,      -6.395006859,        -6.3343997,      -5.578584714,      -9.478825356
          0,           0,          93,       -6.21093707,      -6.179924721,      -6.403527305,      -6.340200182,      -5.585497019,      -9.480610055
          0,           0,          94,      -6.220927784,      -6.187177589,      -6.411833973,      -6.346270667,      -5.594973675,      -9.482579368
          0,           0,          95,      -6.232978841,      -6.194712021,      -6.419968731,      -6.352643404,      -5.606580423,      -9.484682617
          0,           0,          96,      -6.246696768,      -6.202469696,      -6.427979184,      -6.359260217,      -5.619907468,      -9.486878187
          0,           0,          97,      -6.261612673,      -6.210330699,      -6.435966751,      -6.365984561,      -5.634470548,      -9.489136047
          0,           0,          98,      -6.279108435,      -6.218231568,      -6.443962661,      -6.372957498,      -5.651597189,      -9.491433737
          0,           0,          99,      -6.296865487,      -6.226372586,      -6.452074182,      -6.380246807,      -5.669130691,      -9.493804262
          0,           0,         100,      -6.314782985,      -6.234606362,      -6.460266571,       -6.38767438,      -5.686862649,      -9.496308243
          0,           0,         101,       -6.33297425,      -6.242827972,      -6.468566774,      -6.395222054,      -5.704876782,      -9.498579105
          0,           0,         102,      -6.351526503,       -6.25099163,      -6.476981313,      -6.402847914,      -5.723247123,      -9.500684107
          0,           0,         103,      -6.369810485,      -6.259117443,       -6.48547517,      -6.410585259,      -5.741377383,      -9.502642564
          0,           0,         104,      -6.387522108,       -6.26714835,      -6.494020504,      -6.418493407,       -5.75897123,      -9.504458315
