"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         27,          49,      -6.631031091,      -4.721280136,      -4.219962798,      -1.158567726,      -5.111932299,      0.9329898399,       2.262736009,       5.366852338,                 0,                 0,                 0,       1.222509799,      0.5947494395,         5.7939064,                 0,       2.371842017,       1.115424534,      -2.051482784,      -2.597733669,      -2.240137344,      -2.041684747,      -4.537624774,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,          49,      -6.749237253,      -4.927216512,      -4.402548879,        -1.2945797,       -5.40411757,      0.9329898399,       1.522886511,       3.483692742,                 0,                 0,                 0,      0.7703891531,      0.4378104279,       3.776720863,                 0,       2.287558998,      0.9873980244,      -2.178080562,      -2.797270451,       -2.44892738,      -2.184873486,      -4.921408515,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,          12,      -7.733212242,      -5.480176155,      -5.184944281,      -2.277741601,      -4.736381287,      0.9329898399,      0.8994525859,       1.954998237,                 0,                 0,                 0,      0.3602486537,      0.2885646183,       2.132548598,                 0,       2.173542294,      0.8374075864,      -3.170763943,      -3.347080859,      -3.248608595,      -3.175986807,      -4.290793569,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,           8,      -7.785209622,      -5.104328059,      -5.161656066,       -2.32043202,      -4.344391942,      0.9329898399,      0.2938271571,      0.5202168737,                 0,                 0,                 0,     0.01552340345,      0.1288916136,      0.5833926173,                 0,       1.770486019,      0.7414530132,       -3.23824503,      -2.971720151,      -3.240644499,      -3.232828465,      -3.892284139,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,           8,      -7.815438553,      -5.111036848,       -5.18874068,      -2.345774189,       -4.39420312,      0.9329898399,     -0.1626694784,     -0.5390221884,                 0,                 0,                 0,     -0.2263327075,    0.002033240281,      -0.563029435,                 0,       3.313603718,        0.63256983,      -3.297740847,      -2.983563174,       -3.28819451,      -3.284889388,       -3.91660788,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,           8,      -7.782988841,      -5.119058572,      -5.188735413,      -2.297834035,      -4.412920883,      0.9329898399,     -0.4839286892,      -1.241377436,                 0,                 0,                 0,     -0.3790968609,    -0.09983967002,      -1.328622201,                 0,        2.56520736,      0.5730836176,      -3.302005398,      -3.015543238,      -3.314709214,      -3.271267667,      -3.917765066,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,           8,      -7.690142086,      -5.112683413,      -5.164905771,      -2.204111397,      -4.359039742,      0.9329898399,     -0.6459044301,      -1.518026316,                 0,                 0,                 0,     -0.3779740375,     -0.1738535367,      -1.640539965,                 0,       2.350233633,      0.5441064858,        -3.2377076,      -3.051352822,      -3.326401313,      -3.204825669,      -3.856196011,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,          49,       -6.90412958,      -5.027081575,       -4.56699423,        -1.4544247,        -4.7507577,      0.9329898399,     -0.4697140181,     -0.9938987065,                 0,                 0,                 0,    -0.05972376452,     -0.1586018903,      -1.087801148,                 0,       2.115965605,      0.5966255834,      -2.469278676,      -3.002224674,      -2.762194948,      -2.472061485,      -4.236145666,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,          49,      -6.746703469,      -4.699610007,      -4.222463645,      -1.288449815,      -5.209612717,      0.9329898399,     -0.2469188258,     -0.4525227036,                 0,                 0,                 0,      0.2774278809,     -0.1038248132,     -0.5049416917,                 0,       1.832678015,      0.5379090113,      -2.326199504,      -2.694788975,      -2.435784864,      -2.320089931,      -4.670565455,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,          49,      -6.756364278,       -4.69190878,      -4.142563711,       -1.25955287,      -4.936112304,      0.9329898399,    -0.07771646382,     -0.1580979926,                 0,                 0,                 0,      0.4755883746,    -0.02809724437,     -0.1739119572,                 0,       2.034292154,      0.6283620596,      -2.351196922,      -2.695919568,      -2.357634526,      -2.306009129,      -4.385845215,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,          49,      -6.837659855,      -4.720226844,      -4.166510032,      -1.346952102,       -4.65598778,      0.9329898399,     -0.1892256627,     -0.4591447533,                 0,                 0,                 0,      0.2882718955,    -0.04671646696,     -0.4944065408,                 0,       2.426440192,      0.8108767381,      -2.446876784,      -2.721878851,      -2.373940623,        -2.4071829,      -4.102095933,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,          49,      -6.658885016,       -4.65236909,      -4.103552639,      -1.204427141,      -4.391475952,      0.9329898399,     -0.2629644223,      -0.663163085,                 0,                 0,                 0,      0.1465159904,    -0.05758400599,     -0.7110693686,                 0,       2.521873793,       1.014889723,      -2.276153268,       -2.63982037,      -2.298951598,      -2.272424889,      -3.821235583,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,          49,      -6.754379442,      -4.990182212,      -4.519749159,      -1.295394211,      -5.419410352,      0.9329898399,     -0.2300466861,     -0.6387890862,                 0,                 0,                 0,     0.08607241324,    -0.03323088594,      -0.678136183,                 0,       2.776780213,      0.9532048364,      -2.370373889,      -2.954235112,      -2.697389732,      -2.362371964,      -4.815784909,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,          49,      -6.787916121,      -4.721950591,      -4.190242795,      -1.333049686,      -4.852876344,      0.9329898399,    -0.04471840714,     -0.2732480139,                 0,                 0,                 0,      0.1050933719,     0.03712556222,     -0.2743827722,                 0,       6.110414736,       1.162560937,      -2.397127365,      -2.660152133,      -2.345255341,      -2.393778139,      -4.206978095,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
