"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Velocity:0","Velocity:1","Velocity:2","Y_Plus","Points:0","Points:1","Points:2"
0.79391,0,2.2624,-0,6.0312e-08,0,0,0,0,0,0.90495,-0.21714,0.003292,-0.00013781,-6.355e-05,1.1247,0,0,0,1.4393,0.56441,0.65,-0.029488
0.82647,0,2.359,-0,6.0387e-08,0,0,0,0,0,0.94361,-0.13982,0.0024509,3.4315e-05,0.00020166,1.1265,0,0,0,1.267,0.79945,0.65,-0.020677
0.82556,0,2.3564,-0,6.0386e-08,0,0,0,0,0,0.94255,-0.14194,0.0024571,3.3048e-05,0.00020152,1.1265,0,0,0,1.2679,0.79763,0.65,-0.020837
0.8248,0,2.3541,-0,6.0385e-08,0,0,0,0,0,0.94166,-0.14372,0.0024627,3.1465e-05,0.00020113,1.1265,0,0,0,1.2687,0.79667,0.65,-0.020912
0.8233,0,2.3498,-0,6.0383e-08,0,0,0,0,0,0.93991,-0.14722,0.0024759,2.7598e-05,0.0001996,1.1264,0,0,0,1.2708,0.794,0.65,-0.021109
0.9379,0,2.686,-0,6.0538e-08,0,0,0,0,0,1.0744,0.12173,0.0014875,0.00022572,0.000185,1.1302,0,0,0,1.0568,0.95385,0.65,-0.0046585
0.94182,0,2.6975,-0,6.0544e-08,0,0,0,0,0,1.079,0.131,0.00145,0.00023211,0.00018057,1.1304,0,0,0,1.0463,0.95664,0.65,-0.004296
0.91728,0,2.624,-0,6.0487e-08,0,0,0,0,0,1.0496,0.072147,0.0011584,0.00020595,-0.00012735,1.129,0,0,0,0.92398,0.91993,0.65,0.0088913
0.78888,0,2.2494,-0,6.034e-08,0,0,0,0,0,0.89977,-0.2275,0.0027844,-5.449e-05,0.00017171,1.1254,0,0,0,1.3195,0.72874,0.65,-0.025989
0.77814,0,2.2183,-0,6.0331e-08,0,0,0,0,0,0.88733,-0.25237,0.0029166,-9.6235e-05,0.00014671,1.1251,0,0,0,1.3411,0.6996,0.65,-0.027586
0.77425,0,2.2071,-0,6.0328e-08,0,0,0,0,0,0.88284,-0.26135,0.0029538,-0.00011,0.00013584,1.125,0,0,0,1.3464,0.68903,0.65,-0.028164
0.80061,0,2.2836,-0,6.0355e-08,0,0,0,0,0,0.91345,-0.20014,0.0026808,-2.4825e-05,0.00018542,1.1257,0,0,0,1.304,0.75208,0.65,-0.024354
0.55177,0,1.5615,-0,5.9995e-08,0,0,0,0,0,0.62459,-0.77785,0.0034591,-0.00025747,0.00034313,1.1168,0,0,0,1.2398,0.44795,0.65,0.02335
0.56682,0,1.6051,-0,6.0028e-08,0,0,0,0,0,0.64206,-0.74291,0.0034065,-0.00021849,0.00029667,1.1176,0,0,0,1.2459,0.45765,0.65,0.024281
0.85032,0,2.4261,-0,6.0368e-08,0,0,0,0,0,0.97045,-0.086138,0.0034978,-4.7087e-05,-0.00033265,1.126,0,0,0,1.5367,0.44795,0.65,-0.02335
0.57524,0,1.6294,-0,6.0039e-08,0,0,0,0,0,0.65178,-0.72348,0.0033872,-0.00020638,0.00026017,1.1179,0,0,0,1.2504,0.47042,0.65,0.025227
0.78348,0,2.2323,-0,6.0306e-08,0,0,0,0,0,0.89294,-0.24116,0.0031977,-0.00014285,7.1818e-06,1.1245,0,0,0,1.4093,0.60554,0.65,-0.029841
0.95473,0,2.7358,-0,6.0565e-08,0,0,0,0,0,1.0943,0.16159,0.0013125,0.00025145,0.00016241,1.1309,0,0,0,1.0045,0.9662,0.65,-0.0030455
0.95256,0,2.7293,-0,6.0561e-08,0,0,0,0,0,1.0917,0.15644,0.0013356,0.00024809,0.00016547,1.1308,0,0,0,1.0116,0.96454,0.65,-0.003262
0.96378,0,2.7626,-0,6.0579e-08,0,0,0,0,0,1.105,0.18304,0.0012143,0.0002619,0.00014916,1.1313,0,0,0,0.97267,0.97256,0.65,-0.0022136
