"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         264,      -5.241738231,      -2.388915306,      -2.293659247,      -2.284314754,      0.2354837596
          0,           0,         265,      -5.249409466,      -2.409263394,      -2.303701896,      -2.295383148,      0.2274642072
          0,           0,         266,      -5.255036478,       -2.42862819,      -2.312795281,      -2.305783369,       0.221636248
          0,           0,         267,      -5.258660273,      -2.446280076,      -2.320737786,      -2.315264397,       0.217960396
          0,           0,         268,      -5.260432382,      -2.461493273,      -2.327387705,      -2.323611675,      0.2162735108
          0,           0,         269,      -5.260607617,      -2.473640349,      -2.332679821,      -2.330671143,       0.216299197
          0,           0,         270,      -5.259525116,      -2.482299235,      -2.336636157,        -2.3363703,      0.2176706106
          0,           0,         271,      -5.257582692,      -2.487335463,      -2.339368648,      -2.340731159,      0.2199608185
          0,           0,         272,      -5.255200384,      -2.488933242,      -2.341067674,      -2.343867929,      0.2227227394
          0,           0,         273,      -5.252790511,       -2.48756126,      -2.341981279,      -2.345971054,      0.2255215246
          0,           0,         274,      -5.250727628,      -2.483890136,      -2.342390015,       -2.34728308,      0.2279650165
          0,           0,         275,      -5.249337793,      -2.478685449,      -2.342581768,      -2.348072477,      0.2297147453
          0,           0,         276,       -5.24889366,       -2.47271201,      -2.342831524,      -2.348612574,      0.2304896542
          0,           0,         277,      -5.249604812,      -2.466659091,      -2.343384298,      -2.349161805,      0.2300743107
          0,           0,         278,      -5.251616629,      -2.461093116,       -2.34444451,      -2.349949723,      0.2283181257
          0,           0,         279,      -5.255027797,      -2.456455313,      -2.346177877,      -2.351174549,      0.2251178071
          0,           0,         280,      -5.259909476,      -2.453091961,      -2.348719348,      -2.353007462,      0.2203989743
          0,           0,         281,      -5.266324871,      -2.451277853,       -2.35217604,      -2.355590942,      0.2140975819
