Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
62,0.885782,167127,0,-270.439,-1.81253,270.445,0.261964,25.9579,69.7804,5.95764,74.6901,-0.0195768,-0.00692334,1.033,1.03321,65590.6,-0.655047,257.94,29.307,78.7865,6.72261,84.3291
63,0.9483,182513,0,-270.439,-0.116957,270.439,0.210058,34.1794,54.6249,8.3205,64.9718,-0.0189481,-0.000446744,1.033,1.03317,72114.4,-0.53546,264.909,36.0439,57.6059,8.77061,68.5167
64,1.0009,196480,0,-270.439,1.75323,270.444,0.168522,40.9627,36.5239,9.4136,55.6826,-0.018077,0.00669683,1.033,1.03318,77971.9,-0.428086,271.385,40.9248,36.4952,9.41058,55.6354
65,1.03167,205003,0,-270.439,3.78143,270.465,0.157557,46.9723,25.273,8.36756,53.992,-0.0169594,0.014444,1.033,1.03324,81434.9,-0.364605,274.984,45.5297,24.5052,8.11687,52.3387
66,1.26872,275666,0,-270.439,30.4289,272.145,0.20115,1.84974,-87.3031,13.8077,88.4076,0.00836353,0.11623,1.033,1.03955,109030,0.141247,299.374,1.45815,-68.8433,10.8578,69.7095
67,1.26651,271062,0,-270.439,29.7683,272.072,0.153872,2.65081,-66.1488,11.7532,67.2371,0.00834489,0.113707,1.033,1.03927,107710,0.117052,296.26,2.09309,-52.2269,9.28392,53.0869
68,1.27353,270291,0,-270.439,28.9846,271.988,0.127555,3.55641,-54.3891,12.223,55.859,0.00831513,0.110713,1.033,1.03895,107626,0.115498,294.4,2.79252,-42.7088,9.59683,43.8627
69,1.24799,264450,0,-270.439,28.0613,271.891,0.123214,4.40009,-51.5563,10.787,52.8561,0.00826978,0.107186,1.033,1.03858,105332,0.0734566,294.023,3.52571,-41.3114,8.64307,42.3529
70,1.24236,261540,0,-270.439,26.9825,271.781,0.105377,5.52012,-43.0844,11.2552,44.8711,0.00820312,0.103065,1.033,1.03816,104292,0.0543813,292.441,4.4428,-34.6861,9.05814,36.1235
71,1.22843,257364,0,-270.439,25.734,271.66,0.0920039,6.73082,-36.7864,9.75708,38.649,0.00810815,0.0982966,1.033,1.0377,102701,0.0252227,291.242,5.47923,-29.9566,7.94458,31.4727
72,1.21368,253211,0,-270.439,24.3051,271.529,0.0813011,8.05725,-31.1642,9.90483,33.6784,0.00797671,0.0928386,1.033,1.03719,101097,-0.00417656,290.18,6.63833,-25.6806,8.15852,27.7511
73,1.20352,250182,0,-270.439,22.6904,271.389,0.0711686,9.577,-25.8995,9.46851,29.1917,0.00779953,0.0866709,1.033,1.03666,99931,-0.0255534,289.252,7.95758,-21.5211,7.86875,24.2569
74,1.19227,246720,0,-270.439,20.8917,271.245,0.0613779,11.2953,-20.3179,8.88684,24.8873,0.00756666,0.0798004,1.033,1.03611,98583.9,-0.0502463,288.047,9.47362,-17.0415,7.45243,20.8735
75,1.18133,243552,0,-270.439,18.9198,271.1,0.0549674,13.2236,-15.4229,8.56205,22.0463,0.00726774,0.0722684,1.033,1.03555,97338.3,-0.0730804,287.041,11.1938,-13.0548,7.24728,18.6615
76,1.20659,256334,0,-270.439,24.5897,271.554,0.213909,71.0689,-51.7988,9.39243,88.4428,0.000242568,0.0939256,1.033,1.03726,101236,-0.00162809,292.286,58.9001,-42.9274,7.786,73.2981
77,1.21377,259567,0,-270.439,25.9727,271.683,0.222587,70.9565,-59.1437,9.29661,92.8398,0.00162069,0.0992083,1.033,1.03775,102406,0.0198211,293.916,58.4585,-48.7271,7.66143,76.4881
