"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
77, 1.108499988910000e-01, -5.247441655850103e-02, 3.624478363058868e-01, -4.136184623160082e-01, 2.222172621452559e-01, 9.223791917369874e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.224331489651512e-02
78, 1.011300012470000e-01, -5.099709174667230e-02, 3.609820307973295e-01, -4.082498264342092e-01, 2.473829039014853e-01, 9.174751199063418e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.957848399301077e-02
79, 9.181000292300000e-02, -4.941569887502257e-02, 3.557035128662119e-01, -3.985000758567340e-01, 2.731482304234687e-01, 9.019221722095737e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.242776336991769e-02
80, 8.290000259900000e-02, -4.773026708356581e-02, 3.339490388451883e-01, -3.717331586364427e-01, 2.961791505207829e-01, 8.459004134430337e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.023303905185061e-02
81, 7.440000027400000e-02, -4.593906932698490e-02, 3.008803479185321e-01, -3.325862530747914e-01, 3.176674717190058e-01, 7.625200827605325e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.894929270968931e-02
82, 6.633000075800000e-02, -4.404487734397880e-02, 2.657061698278612e-01, -2.897786767628811e-01, 3.403494195186505e-01, 6.743755730154846e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.738709788358358e-02
83, 5.869000032500000e-02, -4.204656565191790e-02, 2.308172971456576e-01, -2.454447527020083e-01, 3.648160547736340e-01, 5.870079934356421e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.687776021173160e-02
84, 5.149000138000000e-02, -3.994562437465590e-02, 1.936573245657578e-01, -1.967834361388436e-01, 3.898585879064607e-01, 4.941969304970375e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.054155143987165e-02
85, 4.473999887700000e-02, -3.774431400151469e-02, 1.525232158878255e-01, -1.416123920631467e-01, 4.144858820205940e-01, 3.915512951844343e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.555652824260653e-02
86, 3.844000026600000e-02, -3.544202345364413e-02, 1.074019546276910e-01, -7.935216951505339e-02, 4.382524819740576e-01, 2.793600227180233e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.051778488235787e-02
87, 3.260000050100000e-02, -3.304186914815939e-02, 5.853795013123340e-02, -9.615294025804222e-03, 4.605035152633686e-01, 1.583089536273665e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.596220288990189e-02
88, 2.723000012300000e-02, -3.054829075675619e-02, 5.617626668125254e-03, 6.864542815177756e-02, 4.798957098129590e-01, 2.793302834364867e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.208447894833959e-02
89, 2.232000045500000e-02, -2.795632152314798e-02, -5.129478438337026e-02, 1.561643531255035e-01, 4.946450864896291e-01, -1.120939728955641e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.843610284774435e-02
90, 1.789999939500000e-02, -2.528296733010216e-02, -1.120683712729585e-01, 2.536915131772570e-01, 5.023405069092440e-01, -2.600106916773841e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.426498827695118e-02
91, 1.394999958600000e-02, -2.251779391103219e-02, -1.757791180078564e-01, 3.607152339414380e-01, 4.994870727769266e-01, -4.154397054793692e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.825901797716590e-02
92, 1.049000024800000e-02, -1.967625557937885e-02, -2.415867852890864e-01, 4.771488582056059e-01, 4.819789295874850e-01, -5.732647116469631e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.903464947652295e-02
93, 7.519999985000000e-03, -1.676313857290009e-02, -3.061913725622593e-01, 5.980544655814248e-01, 4.451899373081584e-01, -7.286501776393256e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.352907904054421e-02
94, 5.040000193000000e-03, -1.378388255967039e-02, -3.674486083839743e-01, 7.200673811080828e-01, 3.838771988583396e-01, -8.714013785454103e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.068528873050722e-02
95, 3.049999941000000e-03, -1.074421500678268e-02, -4.184597816637611e-01, 8.318967339521878e-01, 2.947091933691279e-01, -9.924983513674736e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.365799635330036e-02
96, 1.560000004000000e-03, -7.672626699379152e-03, -4.569732146360306e-01, 9.245757740162271e-01, 1.755953352315516e-01, -1.072858978244865e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.578530364477845e-03
97, 5.600000150000000e-04, -4.563214741149958e-03, -4.797803026614779e-01, 9.844883800979013e-01, 4.384179456077253e-02, -1.088498028155448e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.627178494229216e-04
98, 5.999999800000000e-05, -1.461340714928445e-03, -4.752825663543044e-01, 1.006637851296543e+00, -8.561765325794558e-02, -1.066000164061150e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.005130503867422e-02
99, 0.000000000000000e+00, 0.000000000000000e+00, -4.532307513718781e-01, 9.939446615283652e-01, -1.631387114096118e-01, -1.044205824700590e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.296754617384503e-02
100, 5.999999800000000e-05, 1.365803885196404e-03, -4.265284730118298e-01, 9.531956731252462e-01, -2.387865039765454e-01, -9.991608253590105e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.885676064891470e-02
101, 5.600000150000000e-04, 4.079637127857254e-03, -3.673058646172471e-01, 8.695989240547837e-01, -3.785663340338327e-01, -8.371818888596590e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.045627689452643e-02
102, 1.560000004000000e-03, 6.657168993953957e-03, -2.686096831272105e-01, 7.125018899263583e-01, -5.166587425243601e-01, -5.896459321007094e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.508341411210385e-01
103, 3.049999941000000e-03, 9.101186851533957e-03, -1.522770800581769e-01, 5.309959907267805e-01, -5.977965572479341e-01, -3.110746814973715e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.852802195995248e-01
104, 5.040000193000000e-03, 1.143782006985808e-02, -2.923390418850552e-02, 3.397464121023074e-01, -6.335675272779518e-01, -1.247543755408733e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.857593200778104e-01
