"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         132,      -5.406524028,      -3.875695983,      -4.034484346,      -3.357650796,      -9.072071375
          0,           0,         133,      -5.430150262,      -3.876858039,       -4.03564289,      -3.371538648,      -9.053072936
          0,           0,         134,      -5.445803481,      -3.879349905,      -4.037454439,      -3.377229929,      -9.034094434
          0,           0,         135,      -5.456009768,      -3.882748105,      -4.039361903,      -3.378540052,      -9.015223798
          0,           0,         136,      -5.465260041,      -3.886599153,      -4.040922762,      -3.380384138,      -8.996453892
          0,           0,         137,      -5.477722623,      -3.890504374,      -4.041913344,       -3.38674581,      -8.977790123
          0,           0,         138,      -5.496043675,      -3.894218793,      -4.042380885,      -3.400007619,      -8.959274534
          0,           0,         139,      -5.521125894,      -3.897657822,      -4.042589813,      -3.421135961,      -8.940810499
          0,           0,         140,      -5.551025042,       -3.90086668,      -4.042960473,      -3.449059453,      -8.922262923
          0,           0,         141,      -5.581350978,      -3.903993838,      -4.043930065,      -3.481151736,      -8.903840519
          0,           0,         142,      -5.602746801,      -3.907192145,      -4.045849835,      -3.510757587,      -8.885517358
          0,           0,         143,      -5.607269275,      -3.910604634,      -4.048888225,      -3.530647685,         -8.867188
          0,           0,         144,        -5.5924161,      -3.914283447,      -4.053036031,      -3.534997935,      -8.848917583
          0,           0,         145,      -5.563904169,      -3.918180101,      -4.058087876,      -3.523956017,      -8.830576128
          0,           0,         146,      -5.531025536,      -3.922150993,      -4.063673636,      -3.503645858,       -8.81204315
          0,           0,         147,      -5.500899163,      -3.925970195,      -4.069341733,       -3.48133869,      -8.793489379
          0,           0,         148,      -5.477772367,      -3.929380614,      -4.074656151,      -3.462746709,      -8.774873507
          0,           0,         149,      -5.463778852,      -3.932167469,      -4.079251268,      -3.451405039,      -8.756406374
