Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
44,0.926056,2.7573,0.900534,0.969121,0.0763076,0,0.97212,0.57471,-0.0475195,0,0.576671,0.898824,-0.22584,0.970594,1.0465,0.0824007,0,1.04974
45,0.921225,2.74479,0.907296,0.970501,0.0735949,0,0.973288,0.55906,-0.0487296,0,0.56118,0.892259,-0.240494,0.968556,1.05349,0.0798881,0,1.05651
46,0.916301,2.73203,0.914174,0.971805,0.0707431,0,0.974377,0.54336,-0.0498968,0,0.545646,0.885583,-0.255394,0.966477,1.06057,0.0772051,0,1.06338
47,0.911296,2.71904,0.921177,0.973048,0.0677473,0,0.975403,0.52761,-0.051019,0,0.530071,0.878811,-0.270511,0.964353,1.06776,0.0743418,0,1.07035
48,0.906217,2.70584,0.928263,0.974196,0.0645932,0,0.976336,0.51184,-0.0520914,0,0.514484,0.871959,-0.285805,0.962197,1.07501,0.0712779,0,1.07738
49,0.901132,2.69262,0.9354,0.97529,0.0612773,0,0.977214,0.49605,-0.0531115,0,0.498885,0.865103,-0.301108,0.960019,1.08229,0.0680004,0,1.08443
50,0.895994,2.67925,0.942628,0.976312,0.0577869,0,0.978021,0.48027,-0.0540749,0,0.483305,0.858188,-0.316544,0.957806,1.08964,0.0644947,0,1.09155
51,0.890501,2.66493,0.950344,0.977272,0.0541139,0,0.978769,0.46451,-0.0549784,0,0.467752,0.850816,-0.333,0.955436,1.09744,0.060768,0,1.09912
52,0.884308,2.64874,0.958935,0.978098,0.0502463,0,0.979388,0.44878,-0.0558186,0,0.452238,0.842558,-0.351433,0.952788,1.10606,0.05682,0,1.10752
53,0.878142,2.63259,0.967456,0.978755,0.0461707,0,0.979843,0.43311,-0.0565914,0,0.436792,0.834369,-0.369711,0.950154,1.11458,0.0525778,0,1.11581
54,0.874065,2.62191,0.973161,0.979237,0.0418809,0,0.980132,0.4175,-0.0572942,0,0.421413,0.82895,-0.381809,0.948385,1.12033,0.0479151,0,1.12135
55,0.873816,2.62134,0.973808,0.979688,0.0373725,0,0.980401,0.40197,-0.0579232,0,0.406122,0.828538,-0.382728,0.948184,1.12116,0.0427693,0,1.12198
56,0.875359,2.62551,0.972139,0.980173,0.0326384,0,0.980716,0.38654,-0.0584752,0,0.390938,0.830454,-0.37845,0.948702,1.11974,0.0372858,0,1.12036
57,0.87057,2.61298,0.978889,0.980647,0.0276641,0,0.981037,0.37123,-0.0589468,0,0.375881,0.824086,-0.392666,0.946605,1.12644,0.031777,0,1.12689
58,0.850032,2.55877,1.00688,0.980466,0.0224247,0,0.980722,0.35604,-0.0593356,0,0.36095,0.797207,-0.452663,0.937855,1.15345,0.026381,0,1.15375
59,0.816885,2.47115,1.05396,0.978534,0.0169005,0,0.97868,0.34099,-0.0596385,0,0.346166,0.753956,-0.549204,0.922966,1.19789,0.020689,0,1.19806
60,0.791454,2.40386,1.09201,0.975887,0.0111201,0,0.97595,0.32611,-0.0598525,0,0.331557,0.720851,-0.6231,0.910794,1.23303,0.0140502,0,1.23311
61,0.782005,2.37869,1.10607,0.974268,0.00509645,0,0.974282,0.3114,-0.0599757,0,0.317123,0.70871,-0.650202,0.906273,1.24586,0.00651716,0,1.24588
62,0.782488,2.37988,1.10495,0.974089,-0.0012019,0,0.974089,0.29687,-0.0600055,0,0.302874,0.709431,-0.648592,0.906634,1.24486,-0.001536,0,1.24486
63,0.785971,2.38907,1.0994,0.974438,-0.00781212,0,0.974469,0.28255,-0.0599401,0,0.288838,0.713992,-0.638411,0.90842,1.23979,-0.00993945,0,1.23983
64,0.789472,2.3984,1.09422,0.974982,-0.0147563,0,0.975093,0.26845,-0.0597777,0,0.275025,0.718487,-0.628378,0.910085,1.23498,-0.0186914,0,1.23512
65,0.792689,2.40698,1.08955,0.975443,-0.0220475,0,0.975692,0.25457,-0.0595166,0,0.261435,0.722603,-0.619189,0.911585,1.23055,-0.0278136,0,1.23086
66,0.796208,2.41638,1.08452,0.975909,-0.0297114,0,0.976361,0.24094,-0.0591559,0,0.248096,0.727096,-0.60916,0.913199,1.2257,-0.0373161,0,1.22626
67,0.800207,2.42703,1.07873,0.976291,-0.0377639,0,0.977022,0.22757,-0.0586946,0,0.235017,0.732232,-0.597697,0.915053,1.22005,-0.0471926,0,1.22096
68,0.804621,2.43878,1.07237,0.976609,-0.0462281,0,0.977703,0.21447,-0.058132,0,0.222209,0.737909,-0.585025,0.917089,1.21375,-0.0574532,0,1.21511
69,0.809287,2.45118,1.06562,0.976778,-0.055132,0,0.978333,0.20166,-0.0574681,0,0.209689,0.743933,-0.571578,0.919246,1.20696,-0.0681242,0,1.20888
70,0.814251,2.46436,1.05849,0.976824,-0.0645018,0,0.978951,0.18914,-0.0567023,0,0.197457,0.750351,-0.557253,0.921523,1.19966,-0.0792161,0,1.20227
71,0.819742,2.47892,1.05062,0.976725,-0.0743766,0,0.979553,0.17693,-0.0558351,0,0.185531,0.757465,-0.541372,0.924029,1.1915,-0.0907317,0,1.19495
72,0.826,2.4955,1.04168,0.976465,-0.0847891,0,0.980139,0.16504,-0.0548671,0,0.173921,0.765592,-0.523231,0.926868,1.18216,-0.10265,0,1.18661
73,0.832994,2.51399,1.03169,0.975937,-0.0957775,0,0.980626,0.15349,-0.0537998,0,0.162646,0.774713,-0.502872,0.930035,1.1716,-0.11498,0,1.17723
74,0.840535,2.5339,1.02094,0.975089,-0.10739,0,0.980985,0.14229,-0.0526344,0,0.151713,0.78458,-0.480848,0.933429,1.16008,-0.127764,0,1.1671
75,0.848459,2.55477,1.00963,0.9738,-0.119674,0,0.981126,0.13144,-0.0513713,0,0.141122,0.794999,-0.457591,0.936992,1.14773,-0.141049,0,1.15636
76,0.856857,2.57686,0.997737,0.972098,-0.132698,0,0.981113,0.12095,-0.0500119,0,0.130882,0.806065,-0.432891,0.940723,1.13449,-0.154865,0,1.14501
