Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
2489,1.0761,3.14019,0.690125,0.891706,-0.00866835,0,0.891749,1.03855,0.071475,0,1.041,1.10828,0.241693,1.0299,0.828648,-0.00805535,0,0.828687
2490,1.0728,3.13206,0.695544,0.895306,-0.0114083,0,0.895379,1.03956,0.0839483,0,1.04295,1.10336,0.230722,1.02849,0.834554,-0.0106342,0,0.834622
2491,1.065,3.11263,0.707455,0.902568,-0.0166292,0,0.902721,1.0396,0.117427,0,1.04621,1.09202,0.205402,1.02537,0.84748,-0.0156143,0,0.847624
2492,0.93131,2.77184,0.896675,0.973309,0.037326,0,0.974024,0.518197,-0.509036,0,0.726392,0.904997,-0.212061,0.971746,1.0451,0.040079,0,1.04586
2493,0.949582,2.81892,0.870899,0.966852,0.0546219,0,0.968393,0.656754,-0.494408,0,0.822049,0.930053,-0.156132,0.979434,1.01819,0.057522,0,1.01981
2494,0.93685,2.78615,0.888928,0.971543,0.04341,0,0.972513,0.563548,-0.50723,0,0.758201,0.912555,-0.19519,0.974067,1.03703,0.0463361,0,1.03807
2495,0.942752,2.80135,0.880542,0.9694,0.0492693,0,0.970651,0.609496,-0.502861,0,0.790161,0.920663,-0.177092,0.97657,1.02827,0.0522612,0,1.02959
2496,0.930224,2.76893,0.897845,0.973359,-0.0348193,0,0.973981,0.178704,-0.441581,0,0.47637,0.903614,-0.215147,0.971394,1.04637,-0.0374311,0,1.04704
2497,0.918435,2.73831,0.91398,0.976201,-0.0226272,0,0.976464,0.220371,-0.459037,0,0.509194,0.887693,-0.250685,0.966528,1.0629,-0.0246367,0,1.06318
2498,0.911634,2.72062,0.923326,0.977641,-0.011433,0,0.977707,0.259757,-0.47224,0,0.538966,0.878535,-0.271128,0.963692,1.0724,-0.0125412,0,1.07248
2499,0.90985,2.71603,0.925963,0.978173,0.000767628,0,0.978173,0.300215,-0.484314,0,0.569815,0.876085,-0.276596,0.96289,1.07509,0.000843686,0,1.07509
2500,0.91089,2.7188,0.924767,0.978145,0.0113457,0,0.978211,0.341828,-0.49385,0,0.600612,0.877418,-0.273621,0.963254,1.07383,0.0124556,0,1.07391
2501,1.10548,3.21218,0.641005,0.856014,-0.00349806,0,0.856021,1.01464,0.0199219,0,1.01483,1.1523,0.339958,1.04235,0.774334,-0.00316428,0,0.774341
2502,0.939992,2.79418,0.884257,0.970581,0.0384164,0,0.971341,0.5437,-0.573745,0,0.790439,0.916927,-0.185432,0.975462,1.03254,0.0408689,0,1.03335
2503,1.11792,3.24326,0.622534,0.842525,-0.000104723,0,0.842525,1.01033,0.0105108,0,1.01039,1.17031,0.380159,1.04687,0.753654,-9.36763e-05,0,0.753654
2504,0.981308,2.90032,0.826352,0.954342,-0.0537584,0,0.955855,0.0532759,-0.419601,0,0.42297,0.973914,-0.0582277,0.992465,0.97252,-0.0547824,0,0.974062
2505,1.08253,3.15587,0.67911,0.883941,-0.00791433,0,0.883976,1.03108,0.055741,0,1.03258,1.11798,0.263345,1.03275,0.816553,-0.00731097,0,0.816586
2506,1.07213,3.13067,0.697504,0.888771,0.122128,0,0.897122,-0.097587,0.123667,0,0.157534,1.10213,0.227972,1.02798,0.828976,0.113911,0,0.836766
2507,1.05937,3.09837,0.715286,0.898393,0.124431,0,0.906969,-0.0948625,0.149488,0,0.177047,1.08405,0.187613,1.0233,0.848044,0.117457,0,0.85614
2508,0.891317,2.66741,0.950555,0.979841,-0.0032256,0,0.979846,0.414135,0.553391,0,0.691194,0.851532,-0.331403,0.955363,1.09932,-0.00361891,0,1.09932
2509,0.994096,2.93298,0.808368,0.947935,-0.0578181,0,0.949697,0.0232626,-0.39253,0,0.393218,0.991736,-0.0184473,0.997626,0.953565,-0.0581615,0,0.955337
2510,1.07349,3.13398,0.695215,0.893573,0.0597304,0,0.895567,1.04217,-0.0599419,0,1.04389,1.10417,0.232513,1.02858,0.832404,0.0556416,0,0.834261
2511,0.987299,2.91568,0.818096,0.950991,0.0651719,0,0.953221,0.869314,-0.471042,0,0.98873,0.982206,-0.0397181,0.994842,0.963225,0.0660103,0,0.965484
2512,1.0957,3.18953,0.662113,0.87335,-0.0377643,0,0.874166,-0.104264,-0.125282,0,0.162992,1.13633,0.304301,1.03708,0.79707,-0.0344659,0,0.797815
2513,1.12459,3.26123,0.6174,0.841055,-0.0030357,0,0.841061,-0.0998629,-0.0537517,0,0.11341,1.17869,0.398856,1.0481,0.747877,-0.00269938,0,0.747882
2514,0.908708,2.71312,0.927766,0.975305,0.0798495,0,0.978568,0.119135,0.449543,0,0.465061,0.874487,-0.280164,0.96234,1.07329,0.0878715,0,1.07688
2515,1.0786,3.14629,0.685816,0.888705,-0.00584844,0,0.888724,1.03902,0.0613923,0,1.04083,1.11206,0.250137,1.03102,0.823941,-0.00542224,0,0.823959
2516,1.10666,3.21576,0.641581,0.855489,0.0607679,0,0.857645,1.01566,-0.020369,0,1.01586,1.15337,0.342346,1.04221,0.773036,0.054911,0,0.774984
2517,1.12161,3.25246,0.616987,0.838306,-0.00157662,0,0.838308,1.00861,0.00919873,0,1.00865,1.17567,0.392125,1.0482,0.747415,-0.00140568,0,0.747416
2518,1.12475,3.26033,0.612341,0.834768,-0.00223467,0,0.834771,1.00747,0.00815243,0,1.0075,1.18022,0.402281,1.04932,0.742179,-0.00198681,0,0.742182
2519,1.12852,3.2699,0.607319,0.829588,0.0512899,0,0.831172,1.00786,-0.00788629,0,1.00789,1.18553,0.414122,1.05051,0.735111,0.0454488,0,0.736515
2520,1.10404,3.21033,0.649634,0.858742,0.108091,0,0.865518,-0.0975304,0.0656331,0,0.117558,1.14843,0.331312,1.04021,0.77782,0.0979056,0,0.783958
2521,0.939949,2.79406,0.884265,0.966109,0.100331,0,0.971305,0.0486705,0.394642,0,0.397632,0.916883,-0.18553,0.97546,1.02783,0.106741,0,1.03336
