"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
         72,              0.72,       -10.2501061,      -11.10563882,      -11.48520862,                 0,       1.166933228,   -0.002782032174,      0.1191710149
         73,              0.73,      -10.13409213,      -10.98783433,      -11.39679967,                 0,       1.165161876,   -0.002937408029,      0.1191624116
         74,              0.74,      -10.05390219,       -10.9088171,      -11.32917158,                 0,       1.163487709,   -0.003074871906,      0.1191533823
         75,              0.75,      -10.02424073,      -10.88059281,      -11.30342174,                 0,       1.161790983,   -0.003196977619,      0.1191438915
         76,              0.76,      -10.04458166,      -10.90181229,      -11.32109944,                 0,       1.160082584,   -0.003296611812,      0.1191339874
         77,              0.77,      -10.11367722,       -10.9719141,      -11.38019233,                 0,       1.158379265,   -0.003367851892,       0.119123765
         78,              0.78,      -10.22446483,      -11.08493009,      -11.47264565,                 0,        1.15667115,   -0.003407408584,      0.1191133357
         79,              0.79,      -10.33526202,      -11.20034073,      -11.56106179,                 0,       1.154933164,   -0.003413336173,      0.1191028116
         80,               0.8,      -10.35371551,      -11.22189151,      -11.56295256,                 0,       1.153150422,   -0.003381453651,      0.1190922969
         81,              0.81,      -10.29061979,      -11.15822704,      -11.50010455,                 0,       1.151390338,   -0.003311451979,       0.119081872
         82,              0.82,      -10.23143767,      -11.09799938,      -11.45109608,                 0,       1.149672428,   -0.003213333795,      0.1190715828
         83,              0.83,      -10.20680354,      -11.07292736,      -11.43190016,                 0,       1.147937637,   -0.003092014794,      0.1190614466
         84,              0.84,      -10.21972743,      -11.08669803,      -11.44150425,                 0,        1.14620142,   -0.002943430313,      0.1190514538
         85,              0.85,      -10.26548443,      -11.13480367,      -11.47832508,                 0,       1.144511964,     -0.0027637161,      0.1190415581
         86,              0.86,      -10.33000928,      -11.20305829,      -11.53710314,                 0,       1.142902498,   -0.002550739061,      0.1190316741
         87,              0.87,      -10.37931796,      -11.25491132,      -11.59786998,                 0,        1.14137617,   -0.002303160571,      0.1190216918
         88,              0.88,      -10.37606727,       -11.2483296,      -11.61879548,                 0,       1.139934324,   -0.002021773154,      0.1190114923
         89,              0.89,      -10.33164272,      -11.19822351,      -11.59020811,                 0,       1.138590842,   -0.001712846525,      0.1190009605
         90,               0.9,      -10.28497212,       -11.1484094,      -11.55004701,                 0,       1.137322781,   -0.001385722405,      0.1189899984
         91,              0.91,      -10.25927054,      -11.12208968,      -11.52676925,                 0,        1.13608109,   -0.001046050117,      0.1189785398
         92,              0.92,      -10.26248925,      -11.12625626,      -11.53040912,                 0,       1.134841049,  -0.0006952009784,      0.1189665527
         93,              0.93,      -10.29474259,      -11.16077017,      -11.56121487,                 0,       1.133603769,  -0.0003332555629,      0.1189540301
         94,              0.94,      -10.34887977,      -11.21882297,      -11.61176175,                 0,       1.132370267,   3.913689381e-05,      0.1189409768
         95,              0.95,      -10.40640279,      -11.28206995,      -11.66271253,                 0,       1.131136118,   0.0004200225138,       0.118927403
