"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         122,      -8.431442608,      -8.554766756,      -8.930639375,      -7.719380688
          0,           0,         123,      -8.473948996,      -8.579332093,      -8.960436141,      -7.768105664
          0,           0,         124,       -8.51176215,      -8.610965462,      -9.006809639,      -7.804498679
          0,           0,         125,      -8.547944692,        -8.6400032,      -9.040641146,      -7.834610699
          0,           0,         126,      -8.597107152,      -8.672392584,      -9.076843571,      -7.889358585
          0,           0,         127,      -8.640098214,      -8.711734249,      -9.127846294,      -7.931354152
          0,           0,         128,      -8.679190397,      -8.748112788,      -9.166022959,       -7.96498905
          0,           0,         129,      -8.716408838,      -8.783757015,      -9.199447449,      -7.999515469
          0,           0,         130,      -8.754353852,      -8.821640752,      -9.241347873,      -8.036522027
          0,           0,         131,      -8.799566953,      -8.860388106,       -9.28482696,      -8.080856816
          0,           0,         132,       -8.84107498,      -8.900724345,      -9.322760281,      -8.120040506
          0,           0,         133,      -8.903050931,       -8.94371126,      -9.375643106,      -8.189623725
          0,           0,         134,      -8.969188845,       -8.99360338,      -9.437775165,      -8.255657396
          0,           0,         135,      -9.035108402,      -9.046031541,        -9.4957395,      -8.316590267
          0,           0,         136,      -9.096796371,      -9.099542124,      -9.554219092,       -8.37406282
          0,           0,         137,      -9.172537428,      -9.150089872,      -9.615861973,      -8.455480327
          0,           0,         138,      -9.251231719,      -9.208330062,      -9.687861355,      -8.534045405
          0,           0,         139,      -9.332954544,      -9.269914434,      -9.760691959,      -8.611204412
          0,           0,         140,      -9.418369375,      -9.332014298,      -9.833193289,      -8.691801878
          0,           0,         141,      -9.511837515,      -9.390788899,      -9.902005168,      -8.788530178
          0,           0,         142,      -9.612254692,      -9.456026756,      -9.979902198,      -8.888133201
          0,           0,         143,      -9.722410036,      -9.524161086,      -10.06012916,      -8.993414986
          0,           0,         144,      -9.832894474,      -9.586981021,      -10.12998148,      -9.104385686
          0,           0,         145,      -9.952941863,      -9.654504117,      -10.20815158,      -9.221697965
          0,           0,         146,      -10.07541981,      -9.719548635,      -10.28047278,      -9.339832236
          0,           0,         147,       -10.1756501,      -9.779293674,      -10.34572336,      -9.445392527
          0,           0,         148,      -10.24764124,      -9.836075844,      -10.40141023,      -9.522727696
          0,           0,         149,      -10.27968877,      -9.888481216,      -10.45300993,      -9.568645474
          0,           0,         150,      -10.26638644,      -9.934996734,      -10.48112734,      -9.559600424
          0,           0,         151,      -10.24459596,      -9.978509504,       -10.5133559,      -9.548299767
          0,           0,         152,      -10.20033864,      -10.01264546,      -10.51453475,      -9.500726197
          0,           0,         153,      -10.17266473,      -10.04623145,      -10.53125267,      -9.479546859
          0,           0,         154,      -10.13217571,      -10.06812919,      -10.51789184,      -9.433474824
          0,           0,         155,      -10.11214027,      -10.09281452,      -10.52726006,      -9.418645735
          0,           0,         156,         -10.08184,      -10.10526934,      -10.51110948,      -9.382548243
          0,           0,         157,      -10.05725747,      -10.11875828,      -10.50966313,      -9.355195542
          0,           0,         158,      -10.04022251,      -10.12518118,      -10.49621802,      -9.336987974
          0,           0,         159,      -10.01108298,      -10.12667261,      -10.48264031,      -9.302644352
          0,           0,         160,       -10.0169713,      -10.13553372,       -10.4869594,       -9.31755704
          0,           0,         161,      -10.01445544,      -10.14284719,      -10.49228669,      -9.312047739
