"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          84,      -6.584981409,       -6.23196955,      -6.702472299,      -6.751168861,      -5.984568503,      -9.576267953
          0,           0,          85,      -6.597565204,      -6.236015797,      -6.713399503,      -6.760930082,      -5.997808829,      -9.575013893
          0,           0,          86,      -6.608789069,      -6.240448724,      -6.724309326,      -6.771104049,      -6.009643712,      -9.573842924
          0,           0,          87,      -6.618756424,      -6.245220664,      -6.735104416,      -6.781555586,      -6.020039832,      -9.572789921
          0,           0,          88,      -6.627689096,      -6.250285871,      -6.745623138,      -6.792023821,       -6.02911382,      -9.571845769
          0,           0,          89,      -6.635892449,      -6.255599727,      -6.755680068,      -6.802170507,      -6.037118022,      -9.571026349
          0,           0,          90,      -6.643732434,      -6.261132169,      -6.765111317,       -6.81165904,      -6.044426269,      -9.570332628
          0,           0,          91,      -6.651599325,      -6.266868458,      -6.773817222,      -6.820215411,      -6.051487334,      -9.569767469
          0,           0,          92,      -6.659839838,      -6.272770023,      -6.781790199,      -6.827689496,      -6.058736902,      -9.569327224
          0,           0,          93,      -6.668764825,      -6.278805007,      -6.789122878,      -6.834121597,        -6.0665923,      -9.569006952
          0,           0,          94,      -6.678629861,      -6.284935667,      -6.795997404,       -6.83972328,      -6.075414319,       -9.56879452
          0,           0,          95,      -6.689583369,      -6.291112859,       -6.80265591,       -6.84481575,      -6.085439403,      -9.568680834
          0,           0,          96,      -6.701691456,      -6.297281515,      -6.809369615,      -6.849806727,      -6.096802855,      -9.568645421
          0,           0,          97,      -6.714957334,      -6.303391072,      -6.816396372,      -6.855118846,      -6.109554205,      -9.568672487
          0,           0,          98,      -6.729273008,      -6.309366341,      -6.823956205,      -6.861112474,      -6.123599267,      -9.568747252
          0,           0,          99,      -6.744514855,      -6.315136754,      -6.832208962,      -6.868090685,      -6.138804883,      -9.568857381
          0,           0,         100,      -6.760464896,      -6.320645305,      -6.841238004,      -6.876222373,      -6.154909574,      -9.568980893
          0,           0,         101,      -6.776894124,      -6.325841177,      -6.851049445,      -6.885566492,      -6.171618408,      -9.569102416
          0,           0,         102,       -6.79356839,      -6.330692108,      -6.861575049,      -6.896056875,      -6.188612076,      -9.569209645
          0,           0,         103,      -6.810247007,      -6.335183732,      -6.872683475,      -6.907526105,      -6.205560931,      -9.569288279
          0,           0,         104,      -6.826688018,      -6.339321233,      -6.884194999,       -6.91972337,      -6.222146568,      -9.569326021
          0,           0,         105,      -6.842661376,      -6.343126232,      -6.895902812,      -6.932343557,      -6.238089142,      -9.569310954
          0,           0,         106,      -6.857955378,      -6.346634257,      -6.907600571,      -6.945061102,       -6.25316422,      -9.569233167
          0,           0,         107,      -6.872386831,      -6.349891989,      -6.919108478,      -6.957572704,       -6.26721687,      -9.569089218
          0,           0,         108,      -6.885803713,      -6.352951725,      -6.930293155,      -6.969640576,      -6.280159744,        -9.5688755
          0,           0,         109,      -6.898091093,      -6.355867766,      -6.941083231,       -6.98112426,       -6.29196616,      -9.568586061
          0,           0,         110,       -6.90916676,      -6.358696776,      -6.951470003,      -6.991990189,      -6.302646785,      -9.568220233
          0,           0,         111,      -6.918982099,      -6.361487523,      -6.961503452,      -7.002321088,      -6.312233678,      -9.567782609
          0,           0,         112,      -6.927582671,      -6.364283775,      -6.971278017,      -7.012273303,      -6.320824672,      -9.567275596
          0,           0,         113,      -6.935042413,      -6.367123512,      -6.980908116,      -7.022032483,      -6.328503375,      -9.566704245
          0,           0,         114,       -6.94147269,      -6.370037852,      -6.990505251,      -7.031792234,      -6.335350911,      -9.566073839
          0,           0,         115,       -6.94703094,      -6.373050537,      -7.000155534,      -7.041714088,      -6.341459707,      -9.565395019
          0,           0,         116,      -6.951924381,      -6.376179817,      -7.009903752,       -7.05189477,      -6.346950487,      -9.564677609
          0,           0,         117,      -6.956389628,      -6.379438799,      -7.019748434,      -7.062351272,      -6.351968495,      -9.563933332
          0,           0,         118,      -6.960681183,      -6.382830497,       -7.02964568,      -7.073020384,      -6.356689687,      -9.563174618
          0,           0,         119,      -6.965045024,      -6.386353392,      -7.039520574,      -7.083773362,      -6.361305951,      -9.562397763
          0,           0,         120,      -6.969708412,      -6.390050415,      -7.049284636,      -7.094445392,      -6.366021306,      -9.561617622
          0,           0,         121,       -6.97487254,      -6.393889408,      -7.058855045,      -7.104863815,      -6.371044161,      -9.560845378
          0,           0,         122,      -6.980691175,      -6.397863758,      -7.068173612,      -7.114883609,      -6.376560467,      -9.560089293
          0,           0,         123,      -6.987269762,      -6.401964789,      -7.077219317,      -7.124415434,      -6.382723977,      -9.559357228
          0,           0,         124,      -6.994662331,      -6.406177906,      -7.086013769,      -7.133446158,      -6.389644566,      -9.558652431
          0,           0,         125,      -7.002870557,      -6.410482788,      -7.094619359,      -7.142040766,      -6.397379944,      -9.557977552
          0,           0,         126,      -7.011846871,      -6.414854434,      -7.103131291,      -7.150332412,      -6.405932508,       -9.55733645
          0,           0,         127,      -7.021499337,      -6.419263591,      -7.111663889,      -7.158501197,      -6.415249381,      -9.556730859
          0,           0,         128,      -7.031695847,      -6.423678043,      -7.120335202,      -7.166743905,      -6.425223025,      -9.556160188
          0,           0,         129,      -7.042273131,      -6.428063555,      -7.129250778,      -7.175248627,      -6.435697983,       -9.55562325
          0,           0,         130,      -7.053045177,       -6.43238578,      -7.138491773,      -7.184170467,      -6.446478843,       -9.55511919
          0,           0,         131,      -7.063810224,      -6.436612291,      -7.148106979,      -7.193614294,      -6.457339315,      -9.554645293
          0,           0,         132,      -7.074352988,      -6.440714087,      -7.158107361,      -7.203624989,      -6.468027265,      -9.554196603
          0,           0,         133,      -7.084480302,      -6.444667242,       -7.16846668,      -7.214187912,      -6.478309452,      -9.553769083
          0,           0,         134,       -7.09402005,      -6.448454133,      -7.179125487,       -7.22522848,      -6.487975451,      -9.553357879
          0,           0,         135,      -7.102823205,      -6.452064049,        -7.1899986,      -7.236629153,      -6.496847587,      -9.552958959
