"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         107,       -5.50180692,      -5.096338555,      -5.609092981,      -4.780730333,       -7.25847415
          0,           0,         108,      -5.520007963,      -5.100021977,      -5.594972212,      -4.798117669,      -7.235372198
          0,           0,         109,        -5.5421029,      -5.105250851,      -5.609790059,       -4.81993029,      -7.211584653
          0,           0,         110,      -5.547109733,      -5.108232201,      -5.610131905,      -4.823236898,      -7.190059831
          0,           0,         111,      -5.522072598,      -5.110589288,       -5.60601418,      -4.799233993,      -7.176074479
          0,           0,         112,      -5.511132528,      -5.112756607,      -5.618769259,      -4.788430989,      -7.175291648
          0,           0,         113,      -5.512494139,        -5.1157964,      -5.624133684,      -4.790213299,      -7.188673387
          0,           0,         114,      -5.527430874,      -5.119660937,      -5.606314028,      -4.804596087,      -7.197480127
          0,           0,         115,      -5.551750917,      -5.123953991,      -5.623257234,      -4.828855096,      -7.218013203
          0,           0,         116,      -5.558176801,       -5.12713237,      -5.645000654,      -4.835277897,       -7.21221386
          0,           0,         117,      -5.540968394,      -5.129904638,      -5.641443811,      -4.818674237,      -7.178149286
          0,           0,         118,      -5.515363387,      -5.130357196,      -5.619052048,      -4.793068215,      -7.146938878
          0,           0,         119,      -5.526117369,      -5.132931616,      -5.642178608,      -4.802452335,      -7.121165019
          0,           0,         120,      -5.534609008,      -5.134216272,      -5.637136621,      -4.810731851,       -7.10024886
          0,           0,         121,      -5.530323922,      -5.136955118,      -5.642020804,      -4.806431841,       -7.08676616
          0,           0,         122,      -5.516579119,      -5.136679736,       -5.63842613,      -4.791511019,      -7.081757514
          0,           0,         123,      -5.523547314,      -5.141335441,      -5.641414477,      -4.799793228,      -7.086637747
          0,           0,         124,      -5.553173438,      -5.144221476,      -5.639859495,      -4.829729975,      -7.100900415
          0,           0,         125,      -5.578483773,      -5.147411934,      -5.659698607,      -4.853869293,      -7.107765985
          0,           0,         126,      -5.581253459,      -5.148608983,      -5.662785479,      -4.857153991,      -7.121268491
          0,           0,         127,      -5.562048708,      -5.148037232,      -5.667014743,      -4.838065985,      -7.147714082
          0,           0,         128,      -5.535378235,      -5.147747374,      -5.648897095,      -4.813034444,      -7.206169586
          0,           0,         129,      -5.524335298,       -5.14864897,       -5.65926141,      -4.802057273,      -7.214037418
          0,           0,         130,      -5.527050778,      -5.148871608,      -5.659926876,      -4.805198284,      -7.205672706
          0,           0,         131,      -5.539195485,      -5.149383448,       -5.65714724,      -4.816252726,      -7.188326828
          0,           0,         132,      -5.556120978,      -5.149385397,      -5.664776063,      -4.833454961,      -7.155545069
          0,           0,         133,      -5.557308262,      -5.150008506,      -5.672092868,      -4.834174239,      -7.128568011
          0,           0,         134,      -5.531910019,      -5.148981997,      -5.650729535,      -4.809886811,      -7.108001267
          0,           0,         135,      -5.519154725,      -5.149529993,      -5.659063677,       -4.79654735,      -7.094136733
          0,           0,         136,      -5.524673917,      -5.150890941,      -5.651575849,      -4.802368172,       -7.08883871
          0,           0,         137,       -5.53583634,      -5.153079433,      -5.642222317,      -4.812471379,       -7.09237465
          0,           0,         138,      -5.537998424,      -5.154334057,      -5.648402803,      -4.815086465,      -7.084334828
          0,           0,         139,      -5.527060927,      -5.155737258,      -5.666679361,      -4.804406185,      -7.073966148
          0,           0,         140,      -5.530621723,      -5.157611155,       -5.65568623,      -4.808012643,      -7.063948828
